user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0w1,0,0.00,0.00,3,C++,-,44,0,0,0,0,0,0,0,0,74232,-,-,2612,0.00
0x00000000,0,0.04,0.00,4,C++,-,64,288,0,0,0,0,0,0,0,49728,-,-,2576,0.00
0x42,0,0.04,0.00,48,Java,-,116,0,1,0,0,1,2,72,0,4577,Unknown error,java.io.FileNotFoundException:,23704,0.04
15joeybloom,0,0.00,0.00,5,C++,-,34,0,0,0,0,0,0,0,0,8464,-,-,2732,0.00
1saac,0,0.00,0.00,5,C++,-,64,0,0,0,0,0,2,0,0,21664,-,-,2640,0.00
2011aad,0,0.00,0.00,11,C++,-,101,0,0,0,0,0,0,0,0,11552,-,-,2548,0.00
317070,-,-,-,20,Python,2.7,64,-,0,-,-,1,34,-,-,3397,-,File or Dir not found,-,-
AK93,-,-,-,23,C++,-,122,-,0,-,-,-15,2,-,-,74584,-,Timeout,-,-
ANEvans,0,0.00,0.00,26,C, lm ,104,8,0,0,0,0,6,0,0,9248,-,-,1440,0.00
ANIS,0,0.00,0.00,3,C++,-,37,0,0,0,0,0,0,0,0,50880,-,-,2516,0.00
ARESdream,0,0.00,0.00,0,C++,-,62,0,0,0,0,0,0,0,0,11568,-,-,2608,0.00
Abscp,0,0.00,0.00,1,C++,-,36,0,0,0,0,0,0,0,0,9272,-,-,2544,0.00
Acka,0,0.00,0.00,14,C++,-,69,0,0,0,0,0,3,0,0,9936,-,-,6244,0.00
AdGold,0,0.00,0.00,5,Python,2.7,16,8,0,0,0,0,5,0,0,1347,-,-,6796,0.00
Adipt,0,0.00,0.00,2,Python,2.7,32,8,0,0,0,0,2,0,0,1359,-,-,6680,0.00
Aergyl,0,0.01,0.00,29,C++,-,92,0,0,0,0,0,3,16,0,13608,-,-,2552,0.00
Aith,0,0.00,0.00,4,C++,-,42,0,0,0,0,0,2,0,0,57192,-,-,2504,0.00
Aksenov239,0,0.06,0.00,9,Java,-,68,0,0,0,0,0,0,88,0,2592,-,-,25364,0.05
AlSaeed,0,0.00,0.00,8,C++,-,116,0,0,0,0,0,13,0,0,35696,-,-,2600,0.00
Alcarinquo,0,0.00,0.00,11,C++,-,43,0,0,0,0,0,0,0,0,23240,-,-,2704,0.00
Alex7,0,0.00,0.00,4,C++,-,38,0,0,0,0,0,0,0,0,52096,-,-,2388,0.00
AlexAlvarez,0,0.00,0.00,20,C++,-,147,0,0,0,0,0,2,0,0,81952,-,-,2416,0.00
AlexTolstov,0,0.11,0.00,31,Java,-,110,0,0,0,0,0,1,72,0,3797,-,-,29176,0.09
AlixMartin,0,0.03,0.00,15,Python,2.7,67,8,0,0,0,0,0,16,0,3323,-,-,6912,0.02
AlphaGo,0,0.00,0.00,8,C++,-,119,0,0,0,0,0,12,0,0,46216,-,-,2628,0.00
AlwaysHungry,0,0.00,0.00,19,C++,-,67,0,0,0,0,0,2,0,0,26064,-,-,2600,0.00
Ambling,0,1.45,0.32,27,Java,-,107,0,0,0,0,0,11,72,0,2343,-,-,284936,1.13
Amitoj,0,0.00,0.00,12,C++,-,64,0,0,0,0,0,0,0,0,13424,-,-,2536,0.00
AndersTornkvist,-,-,-,59,Python,3.5,238,-,0,-,-,1,39,-,-,-,-,File or Dir not found,-,-
AndreyL,0,0.06,0.00,19,Java,-,82,0,0,0,0,1,5,72,0,3427,-,java.io.FileNotFoundException:,25428,0.05
AndreySergunin,-,-,-,7,C++,-,58,-,0,-,-,-15,0,-,-,10336,-,Timeout,-,-
AndyAder,0,0.00,0.00,8,C++,-,43,0,1,0,0,127,2,0,0,-,Unknown error,Command not found,1368,0.00
Anjupiter,0,0.00,0.00,8,C++,-,113,0,0,0,0,0,0,0,0,24152,-,-,2624,0.00
Anthrax,-,-,-,19,Python,3.5,49,-,0,-,-,1,0,-,-,-,-,ImportError,-,-
Anton92nd,0,0.00,0.00,9,C++,-,77,0,0,0,0,0,0,0,0,49000,-,-,2624,0.00
Antonator,0,0.00,0.00,15,Python,2.7,35,8,0,0,0,0,5,16,0,1296,-,-,6812,0.00
AnuarTB,0,0.00,0.00,26,C++,-,146,0,0,0,0,0,0,0,0,38888,-,-,2644,0.00
Aragna,0,0.00,0.00,6,C++,-,38,0,0,0,0,0,0,0,0,38680,-,-,2488,0.00
AravindaDP,0,0.02,0.00,15,C#,-,157,0,0,0,0,0,4,16,0,5120,-,-,10656,0.02
