user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,max_RAM,user_time
37ae912,-,-,-,25,C++,-,75,-,-,-,-,-,2,-,-,-,-,-
ACing,-,-,-,9,C++,-,80,-,-,-,-,-,1,-,-,-,-,-
AIgen,-,-,-,6,C++,-,78,-,-,-,-,-,0,-,-,-,-,-
AK93,-,-,-,4,C++,-,76,-,-,-,-,-,0,-,-,-,-,-
AKim,-,-,-,0,C++,-,50,-,-,-,-,-,0,-,-,-,-,-
AS1,-,-,-,10,C++,-,85,-,-,-,-,-,1,-,-,-,-,-
Abdenago,0,0.04,0.00,14,Java,-,139,0,0,0,0,1,3,64,0,4342,21292,0.04
Abeja,-,-,-,34,Python,-,62,-,-,-,-,-,1,-,-,-,-,-
Acev,-,-,-,16,C++,-,98,-,-,-,-,-,0,-,-,-,-,-
AdGold,-,-,-,3,C++,-,69,-,-,-,-,-,2,-,-,-,-,-
Adaephon,-,-,-,21,C++,-,118,-,-,-,-,-,1,-,-,-,-,-
AekdyCoin,-,-,-,0,C++,-,79,-,-,-,-,-,0,-,-,-,-,-
Aerodonkey,-,-,-,13,C++,-,130,-,-,-,-,-,2,-,-,-,-,-
Agentchuck,-,-,-,17,C++,-,133,-,-,-,-,-,5,-,-,-,-,-
AhmedSalem,-,-,-,9,C++,-,81,-,-,-,-,-,1,-,-,-,-,-
Aldelo,-,-,-,2,C#,-,24,-,1,-,-,-1,26,-,-,-,-,-
Aleksander,-,-,-,52,C++,-,179,-,-,-,-,-,3,-,-,-,-,-
AlexTolstov,0,0.12,0.00,42,Java,-,140,0,0,0,0,0,5,64,0,3008,30884,0.12
AlexanderBolshakov,0,0.08,0.02,21,Java,-,119,0,0,0,0,0,0,72,0,2954,27592,0.05
AlonH,-,-,-,5,Java,-,81,-,1,-,-,-1,4,-,-,-,-,-
AlonsoVidales,-,-,-,17,Python,-,65,-,-,-,-,-,0,-,-,-,-,-
Ambling,-,-,-,14,C++,-,101,-,-,-,-,-,5,-,-,-,-,-
Anarivu,-,-,-,8,C++,-,77,-,-,-,-,-,0,-,-,-,-,-
AndreySiunov,-,-,-,9,C++,-,84,-,-,-,-,-,1,-,-,-,-,-
AndyBloch,-,-,-,13,C++,-,108,-,-,-,-,-,4,-,-,-,-,-
AnnieKim,-,-,-,6,C++,-,78,-,-,-,-,-,2,-,-,-,-,-
ArchVince,-,-,-,24,C#,System.Numerics,129,-,1,-,-,-1,0,-,-,-,-,-
Arios,-,-,-,8,C++,-,71,-,-,-,-,-,4,-,-,-,-,-
Arti1990,-,-,-,36,C++,-,177,-,-,-,-,-,10,-,-,-,-,-
AvinFernando,-,-,-,3,C#,-,4,-,-1,-,-,-1,36,-,-,-,-,-
BHAVANI,-,-,-,8,C++,-,94,-,-,-,-,-,4,-,-,-,-,-
Baekjoon,-,-,-,1,C++,-,73,-,-,-,-,-,0,-,-,-,-,-
Baker,-,-,-,33,C++,-,205,-,-,-,-,-,15,-,-,-,-,-
BananaTree,-,-,-,2,C++,-,94,-,-,-,-,-,4,-,-,-,-,-
BertLeung,-,-,-,7,C++,-,73,-,-,-,-,-,10,-,-,-,-,-
Bidhan,-,-,-,8,C++,-,109,-,-,-,-,-,9,-,-,-,-,-
Binnie,-,-,-,5,Python,-,51,-,-,-,-,-,1,-,-,-,-,-
Boyweb,-,-,-,5,C++,-,67,-,-,-,-,-,0,-,-,-,-,-
CHZ,-,-,-,4,C++,-,54,-,-,-,-,-,2,-,-,-,-,-
Cakes,0,0.11,0.01,5,Java,-,96,0,0,0,0,0,0,72,0,2529,28924,0.10
Cakra,-,-,-,21,C++,-,93,-,-,-,-,-,4,-,-,-,-,-
Callum,-,-,-,0,Python,-,45,-,-,-,-,-,0,-,-,-,-,-
CarpathianCoder,-,-,-,44,C++,-,208,-,-,-,-,-,2,-,-,-,-,-
CatK,-,-,-,7,C++,-,91,-,-,-,-,-,3,-,-,-,-,-
Charlene,-,-,-,21,C++,-,111,-,-,-,-,-,1,-,-,-,-,-
Chei,0,0.19,0.00,18,Java,-,106,0,0,0,0,0,8,64,0,2448,34496,0.18
Cherip,-,-,-,23,C++,-,86,-,-,-,-,-,4,-,-,-,-,-
ChrisBeaumont,-,-,-,27,Python,-,75,-,-,-,-,-,14,-,-,-,-,-
ChrisJ,-,-,-,24,Python,-,84,-,-,-,-,-,4,-,-,-,-,-
ChunLaw,-,-,-,8,C++,-,65,-,-,-,-,-,0,-,-,-,-,-
Cintia,-,-,-,14,C++,-,103,-,-,-,-,-,1,-,-,-,-,-
CoyoteRunner,0,0.08,0.00,31,C#,System.Numerics,289,0,0,0,0,0,6,8,0,6144,11576,0.07
Creed,-,-,-,10,C++,-,77,-,-,-,-,-,4,-,-,-,-,-
Cromel,-,-,-,6,C++,-,122,-,-,-,-,-,0,-,-,-,-,-
Cronos,0,0.04,0.00,14,Java,-,102,0,0,0,0,1,3,64,0,2773,21288,0.04
Cruiser,-,-,-,13,C++,-,84,-,-,-,-,-,2,-,-,-,-,-
CuteCube,-,-,-,25,Python,-,73,-,-,-,-,-,4,-,-,-,-,-
CyberZHG,-,-,-,10,C++,-,217,-,-,-,-,-,6,-,-,-,-,-
D3zmodos,-,-,-,21,Python,-,53,-,-,-,-,-,8,-,-,-,-,-
