user_id,avg_memory,wall_clock,system_time,blanks,language,compiler_version,cloc,nbr_file_in,compiled,swap_main_memory,avg_RAM,exit_code,comments,nbr_file_out,nbr_page_faults,exe_size,compile_error_msg,run_error_msg,max_RAM,user_time
0alex,-,-,-,23,C++,-,134,-,1,-,-,-1,11,-,-,-,-,-,-,-
112atn323,0,0.04,0.00,12,Java,-,126,0,0,0,0,1,0,64,0,3762,-,-,21432,0.04
178855371157,0,0.01,0.00,9,Python,2.7,34,0,0,0,0,0,4,0,0,1188,-,-,6660,0.00
1E60,0,0.00,0.00,1,C++,-,61,0,0,0,0,0,5,0,0,9248,-,-,2332,0.00
1NCID3R,0,0.00,0.00,18,C++,-,78,0,0,0,0,0,5,0,0,17784,-,-,2444,0.00
2jjy,0,0.00,0.00,0,C++,-,54,0,0,0,0,0,1,0,0,9056,-,-,2676,0.00
354898002,0,0.00,0.00,52,C++,-,57,0,0,0,0,0,235,0,0,9808,-,-,2600,0.00
37ae912,-,-,-,17,C++,-,67,-,1,-,-,-1,4,-,-,-,-,-,-,-
3of7,0,0.00,0.00,1,C++,-,52,0,0,0,0,0,0,0,0,17368,-,-,2624,0.00
4ameleon,-,-,-,13,C#,-,62,-,1,-,-,-1,0,-,-,-,-,-,-,-
551100kk,0,0.00,0.00,1,C++,-,40,0,-15,0,0,0,0,0,0,10256,-,-,2392,0.00
7HM,0,0.14,0.01,24,Java,-,84,0,0,0,0,0,12,72,0,1846,-,-,32884,0.12
8cbx,0,0.00,0.00,0,C++,-,71,0,0,0,0,0,2,0,0,8072,-,-,2416,0.00
ACMonster,0,0.00,0.00,6,C++,-,82,0,0,0,0,0,1,0,0,9080,-,-,2544,0.00
ACalvin,0,0.00,0.00,0,C++,-,54,0,0,0,0,0,0,0,0,34984,-,-,2296,0.00
ACgege,0,0.00,0.00,22,C++,-,74,0,0,0,0,0,8,0,0,34752,-,-,2580,0.00
AFGhazy,0,0.00,0.00,36,C++,-,51,0,0,0,0,0,2,0,0,11056,-,-,2468,0.00
AJ721,0,0.04,0.00,12,Java,-,85,0,1,0,0,1,2,64,0,2166,-,-,21576,0.04
ARechitsky,0,0.05,0.00,20,Java,-,148,0,0,0,0,1,5,64,0,1612,-,-,21640,0.04
ASotelo,0,0.04,0.00,2,Java,-,85,0,0,0,0,1,5,64,0,3498,-,-,21300,0.03
AaronStockdill,0,0.38,0.00,17,Python,3.5,53,0,0,0,0,0,2,0,0,2766,-,-,7868,0.38
Abesy,-,-,-,14,C++,-,146,-,1,-,-,-1,3,-,-,-,-,-,-,-
Abhinav2107,0,0.01,0.00,0,Python,2.7,35,0,0,0,0,0,0,0,0,930,-,-,6464,0.00
Abscp,0,0.00,0.00,0,C++,-,36,0,0,0,0,0,0,0,0,8184,-,-,2116,0.00
AcmerArthur,0,0.00,0.00,0,C++,-,48,0,0,0,0,0,0,0,0,9872,-,-,2680,0.00
AcrossTheSky,0,0.00,0.00,5,C++,-,122,0,0,0,0,0,1,0,0,9864,-,-,2752,0.00
Action,-,-,-,2,C#,-,94,-,0,-,-,1,0,-,-,4608,-,-,-,-
Agentchuck,0,0.00,0.00,19,C++,-,113,0,0,0,0,255,8,0,0,26168,-,-,2488,0.00
AhmadMamdouh,0,0.25,0.00,10,Java,-,95,0,0,0,0,0,2,72,0,2062,-,-,59432,0.15
AidaoChen,0,0.00,0.00,2,C++,-,50,0,0,0,0,0,1,8,0,11032,-,-,2532,0.00
AileenC,0,0.40,0.00,17,Python,2.7,74,0,0,0,0,0,0,0,0,2276,-,-,6412,0.24
AizukiKoh,0,0.05,0.00,5,C#,-,91,0,0,0,0,0,0,0,0,3584,-,-,11392,0.03
Akigeor,0,0.00,0.00,0,C++,-,57,0,0,0,0,0,1,0,0,8568,-,-,2608,0.00
AlSaeed,0,0.00,0.00,6,C++,-,70,0,0,0,0,0,0,0,0,10192,-,-,2608,0.00
Alamin,0,0.00,0.00,19,C++,-,88,0,0,0,0,0,7,8,0,9960,-,-,2668,0.00
AlanC,0,0.00,0.00,8,C++,-,54,0,0,0,0,0,2,0,0,8152,-,-,2336,0.00
Alcarinquo,0,0.00,0.00,15,C++,-,59,0,0,0,0,0,2,0,0,9736,-,-,2704,0.00
Aleksei,0,0.13,0.00,2,C++,-,72,0,0,0,0,136,2,0,0,20600,-,-,51416,0.12
Alen,0,0.23,0.00,13,Python,2.7,41,0,0,0,0,0,3,8,0,2135,-,-,6804,0.23
AlexBarry,-,-,-,33,Python,2.7,62,-,0,-,-,1,14,-,-,3268,-,-,-,-
AlexFetisov,0,0.04,0.00,29,Java,-,170,0,0,0,0,1,5,64,0,1628,-,-,21668,0.04
AlexZhan,0,0.00,0.00,9,C++,-,40,0,0,0,0,0,0,0,0,7736,-,-,2452,0.00
